City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Mumbai,02-01-2023,421.8,414.2,107.8,82.4,183.5,12.7,8.75,83.9,111,8.26,10.52,7.86,115.2,Moderate
Chennai,02-01-2023,432.8,561.5,189.9,8.6,15.6,7.1,1.67,12.1,160.8,0.09,6.33,1.79,429.8,Severe
Kolkata,02-01-2023,495.1,559.6,7.2,54.3,128.9,3,5.42,15,172.2,11.92,16.47,2.89,75,Moderate
Bangalore,02-01-2023,196.4,435.5,65.2,83.6,163,44.1,7.07,44.7,119.4,12.24,19.95,3.62,58.8,Satisfactory
Delhi,03-01-2023,113.1,460.6,66.5,53.2,129.3,5.6,1.74,73.3,140.8,12.58,21.91,3.7,431.8,Good
Mumbai,03-01-2023,200.1,434,152.1,134.3,169,2.2,2.53,47.6,122.5,15.55,18.73,0.05,177.2,Good
Chennai,03-01-2023,345.7,212.5,97,104.6,196.7,35.8,8.17,73.5,47,12.17,15.38,7.76,248.9,Poor
Kolkata,03-01-2023,133.3,346,80.7,29.5,24.3,39.8,5.88,66.5,139.2,0.1,29.05,3.39,395.4,Moderate
Bangalore,03-01-2023,387.4,539.2,120.7,79,34.9,3,5.45,93.7,149.6,1.07,29.3,2.55,491.1,Poor
Delhi,04-01-2023,50.6,238.8,93.1,13.8,134.1,31.3,0.21,70.8,136.4,9.12,8.4,6.48,223.6,Poor
Mumbai,04-01-2023,365.4,190.4,63.9,18.3,50.4,31.1,4.53,88.7,173.2,2.32,25.61,7.34,308.8,Moderate
Chennai,04-01-2023,184,437.4,163.4,143.2,206.9,30.1,2.29,51.1,76.3,11.47,24.47,3.68,396.6,Poor
Kolkata,04-01-2023,137.3,513.7,178.1,26.9,239.3,23.7,4.4,62.8,173.1,0.85,28.76,0.45,116.1,Satisfactory
Bangalore,04-01-2023,434,57,31.4,6.5,96.1,37,9.23,67.2,183.2,13.35,26.38,3.82,162.6,Very Poor
Delhi,05-01-2023,68.8,408.6,102.3,109.4,106,44.5,2.46,58.9,170.7,3.14,5.12,5.67,384.5,Poor
Mumbai,05-01-2023,194.2,258.9,104.9,4.8,41.2,44.3,6.58,24.6,7.9,16.94,0.8,9.73,20.9,Moderate
Chennai,05-01-2023,155.7,414.7,127.1,136.8,100,38.5,7.94,57.8,10.9,0.57,25.21,3.18,194.5,Satisfactory
Kolkata,05-01-2023,263.8,593.4,29.4,98.2,138.4,34.2,9.94,17.7,191.1,17.42,17.03,6.55,480.7,Satisfactory
Bangalore,05-01-2023,103.2,361.9,17.3,33.7,181.7,28.5,8.68,82.4,159.4,8.04,17.07,7.19,182.2,Good
Delhi,06-01-2023,478.7,220.8,186.1,110.2,38.6,36.6,1.5,21.6,74.8,8.56,3.17,2.41,123,Very Poor
Mumbai,06-01-2023,92.6,194.3,51.9,46.6,138.4,32.8,8.86,38.1,33.6,15.24,6.96,4.27,285.4,Satisfactory
Chennai,06-01-2023,9.7,224.9,92,91.8,227.3,1.4,2.57,44.9,180.4,4.38,27.47,5.81,267.1,Poor
Kolkata,06-01-2023,483.8,191.2,143.1,78.7,233.5,40,0.17,33,100.2,6.19,24.96,0.01,27.2,Very Poor
Bangalore,06-01-2023,214.7,270.8,84.1,118.9,155.1,25,8.11,18.9,170.1,14.81,3.3,0.1,209.8,Good
Delhi,07-01-2023,475.3,437.2,176.8,45.4,47.4,0.6,1.26,88.5,185.7,18.05,23.68,2.57,408.6,Moderate
Mumbai,07-01-2023,180.7,327.3,18.7,90.1,74,14.7,9.25,32.5,21.9,17.57,17.11,8.3,286.9,Severe
Chennai,07-01-2023,14,355.1,126.2,31.5,97.4,48.2,0.71,46.1,89.3,6.85,1.58,6.85,240.9,Poor
Kolkata,07-01-2023,330.7,88.1,87.8,110.1,185.6,33.3,9.68,51,148.9,11.45,18.85,0.21,141.1,Severe
Bangalore,07-01-2023,243.3,118.4,132.1,10.4,87.2,8.2,7.44,21.8,177.5,11.14,29.55,1.41,294,Good
Delhi,08-01-2023,62.8,44.7,131.4,3.5,87.8,2.4,1.75,95,54.1,6.74,26.07,9.47,271.5,Moderate
Mumbai,08-01-2023,175.4,592.4,27.3,35.6,29.1,29.2,1.84,89.6,105.4,3.5,24.26,8.12,428.6,Very Poor
Chennai,08-01-2023,441.9,283.7,157.9,85,55.7,3.9,3.99,9.9,163.9,12.49,10.06,7.11,463.1,Very Poor
Kolkata,08-01-2023,70,65.7,162.6,76.7,142.2,47.7,3.22,18.4,53.8,1.67,21.02,6.91,424.8,Poor
Bangalore,08-01-2023,122.2,395.6,104.1,56.5,186,44.9,4.27,15.7,102,15.42,27.88,4.36,66.4,Poor
Delhi,09-01-2023,183.6,126.3,157.8,148.7,1.9,43.4,3.33,43.7,62.3,4.38,0.96,7.16,399.3,Very Poor
Mumbai,09-01-2023,98.8,214.4,63.6,82.9,121.3,16.1,1.88,86.5,71,16,15.23,3.28,104.6,Poor
Chennai,09-01-2023,170.7,426.2,127.8,124.7,149.1,11.3,8.4,75.5,77.5,4.26,9.92,8.52,444.2,Moderate
Kolkata,09-01-2023,307.8,49.1,141.8,94.4,38,25.7,3.98,55.5,193,1.43,15.25,7.38,103.2,Satisfactory
Bangalore,09-01-2023,218.9,370.5,87,134.5,80.4,25.3,5.83,19.3,106.6,0.92,16.07,6.69,49.5,Moderate
Delhi,10-01-2023,286.6,85.7,112.8,102.9,78.4,30.9,1.78,6.3,71.8,15.81,29.6,7.27,86.4,Very Poor
Mumbai,10-01-2023,68.9,98.3,182.2,62,12.3,48.8,1.51,55.7,65.1,3.29,18.92,6.33,357.2,Severe
Chennai,10-01-2023,126.6,546.8,61,88.1,27.3,13.4,6.45,99.5,132.1,2.42,26.03,8.79,326.6,Severe
Kolkata,10-01-2023,26.7,493.1,122,65.5,239.4,36.8,1.81,69.9,170,13.08,6.6,4.54,346.1,Very Poor
Bangalore,10-01-2023,140.2,439.8,160.2,57.2,37.1,44.6,9.39,12.6,195.8,9.31,14.15,4.06,457.8,Very Poor
Delhi,11-01-2023,191,586.8,137.2,133.9,226.2,11.2,7.57,19.6,110.5,15.4,5.98,5.83,179.5,Moderate
Mumbai,11-01-2023,223.5,316.2,137.9,78.5,22.9,22.4,6.67,50.5,140.3,11.1,1.88,5.38,282.3,Good
Chennai,11-01-2023,420.8,426.9,125.7,52.5,188.9,31.7,1.24,31,187.7,16.29,27.65,3.57,229.8,Moderate
Kolkata,11-01-2023,17,240.7,101.1,29.1,145.4,23.2,4.16,34.7,43.4,10.18,5.21,5.91,217.7,Good
Bangalore,11-01-2023,90.2,341.7,186.2,90.1,133.4,46.3,8.41,52.6,70.6,19.92,20.08,1.08,305.4,Good
Delhi,12-01-2023,154.2,292.1,137.1,106.1,218.7,49.3,1.32,52.4,108.6,19.37,9.61,1.95,327.2,Severe
Mumbai,12-01-2023,309.8,277,148.3,46.1,2.8,18.5,3.4,83.6,98.5,11.65,11.85,3.38,128.2,Severe
Chennai,12-01-2023,58.5,159,171.4,92.1,12.8,42,5.36,79.6,178.7,15.02,19.48,4.88,426,Severe
Kolkata,12-01-2023,448.9,121.4,15.5,88.7,137.1,41.7,9.28,25.5,69.2,10.99,21.51,6.84,267.5,Moderate
Bangalore,12-01-2023,289.9,215.4,28.7,125.5,86.9,11.8,9.94,69.7,197.8,15.92,25.18,5.38,499.8,Severe
Delhi,13-01-2023,105.4,118,78.3,88.3,13.6,33.4,0.87,6.5,73.4,10.51,13.44,2.09,217.7,Satisfactory
Mumbai,13-01-2023,133.5,222.1,98.4,148.1,90.5,21.8,5.14,50.8,108.2,0.57,8.25,3.44,70.8,Satisfactory
Chennai,13-01-2023,418.6,500.2,64.2,72,91.8,46.1,5.5,69.8,85.5,7.87,29.09,9.68,412.4,Severe
Kolkata,13-01-2023,228.8,302.1,23.9,39.1,192.9,41,9.3,12.1,191.7,8.91,21.71,4.52,494.1,Satisfactory
Bangalore,13-01-2023,396.4,191.6,197.7,135.9,19,23.2,6.02,62.1,28.7,15.45,1.32,6.18,174,Very Poor
Delhi,14-01-2023,207.4,531.7,138.9,88.7,59.5,36.9,4.8,24.1,68.5,5.75,5.58,2.37,287.4,Moderate
Mumbai,14-01-2023,359.7,528.7,91.9,135.2,115.1,15.1,1.64,15.2,20.6,12.24,23.84,8.36,374.7,Poor
Chennai,14-01-2023,394.5,176.9,158.3,48.9,4.4,6.7,5.87,33.4,66,5.9,16.52,4.2,126.6,Good
Kolkata,14-01-2023,329.2,577,57.8,59.9,174.3,45.6,3.16,3.1,149.6,8.59,2.97,4.76,482.1,Poor
Bangalore,14-01-2023,178.9,59.5,161,103.1,116,27.4,5.56,86.5,85.4,8.06,0.31,1.18,488.5,Very Poor
Delhi,15-01-2023,218.3,257.6,198,54.2,209.7,44.3,8.52,41.3,113.1,5.19,14.49,8.79,39.2,Severe
Mumbai,15-01-2023,119.4,333.7,99.2,106.6,69.3,45,4.03,1.3,25.9,3.97,23.43,8.75,397.3,Moderate
Chennai,15-01-2023,108.3,316,152.8,77.5,218.5,47.9,4.17,9.8,99.3,2.14,18.72,5.01,122.5,Satisfactory
Kolkata,15-01-2023,397.6,415.9,143.4,17.6,46.7,37.8,6.64,26,117.4,0.32,21.42,5.63,193.9,Good
Bangalore,15-01-2023,11.2,287.1,10,44.6,211.5,32.5,9.61,25.1,102.6,4.95,23.78,0.33,332.6,Satisfactory
Delhi,16-01-2023,229.3,352.6,63.4,109.5,191.5,23.2,7.83,67,115.4,8.55,23.97,1.62,102.7,Very Poor
Mumbai,16-01-2023,375.7,49.3,60.2,10.4,41.4,8.8,0.96,45.5,106.8,16.04,29.74,3.25,493.8,Moderate
Chennai,16-01-2023,452.9,43.7,10.8,18.8,156.4,0.8,3.27,19.8,151.3,15.99,22.28,8.98,181.9,Moderate
Kolkata,16-01-2023,349.8,389.9,14.4,1,235.2,27.2,9.52,43.8,162.8,15.68,27.78,2.45,260.7,Very Poor
Bangalore,16-01-2023,469.3,266.6,181.5,6.9,219.6,0.8,2.4,19.9,56.6,11.62,5.16,9.38,335.7,Satisfactory
Delhi,17-01-2023,339.6,46.4,103.9,100.6,126,30.6,9.63,45.1,72.4,17.62,5.62,8.05,184.3,Moderate
Mumbai,17-01-2023,429.9,418.4,194.2,85.5,73.4,27.3,5.57,80,97.9,0.87,6.59,4.46,107.1,Satisfactory
Chennai,17-01-2023,44.8,120,43.8,38,43.1,9,7,17,29.7,5.17,20.91,7.38,346.5,Severe
Kolkata,17-01-2023,152.9,599.1,125.9,114.6,141.3,6.2,4.94,72.5,18.4,14.73,23.64,3.73,422.2,Satisfactory
Bangalore,17-01-2023,298.4,44.9,35.2,129.9,19.7,2.5,5.26,38.6,138.2,6.66,5.96,5.4,109.8,Poor
Delhi,18-01-2023,166.2,73.5,120.5,7.3,203.5,29.7,3.66,57.8,81.1,10.05,13.86,6.79,453.8,Good
Mumbai,18-01-2023,457.8,156.3,130.4,37.2,15.1,7.7,8.85,84.7,145.2,15.07,23.26,4.7,240.9,Good
Chennai,18-01-2023,382.5,156.4,159.3,144.6,210.2,46.8,1.45,67.5,69.4,18.61,19.92,8.81,383.9,Satisfactory
Kolkata,18-01-2023,457.1,33.6,145.4,58.9,118.6,43.5,3.72,59.7,178.1,5.65,5.06,2,164.9,Moderate
Bangalore,18-01-2023,414.1,424.6,120.5,92.8,217.5,0.7,6.76,53.8,27,12.42,6.02,2.62,259,Poor
Delhi,19-01-2023,42.4,58.8,136.1,33.9,205,17.3,3.09,45.5,145.7,17.03,25.55,2.69,45.2,Poor
Mumbai,19-01-2023,9.7,207,17.1,55.4,82,37.9,4.58,90.4,31.3,2.47,11.46,8.58,486.9,Good
Chennai,19-01-2023,400.6,78.3,26.4,97,62.4,34.6,6.53,49.1,139.4,19.38,3.22,2.79,297.7,Very Poor
Kolkata,19-01-2023,155.3,548.8,79.2,17.9,126.3,44.1,0.85,20.2,49.3,14.11,19.51,7.31,148.5,Very Poor
Bangalore,19-01-2023,307.9,243,180.6,110.9,185.8,43.6,6.27,47.2,170.2,4.34,14.94,7.79,86.3,Severe
Delhi,20-01-2023,443.6,393.2,193.8,140.5,1.9,23.3,2.58,85.3,2.8,4.37,1.61,4.74,378.6,Very Poor
Mumbai,20-01-2023,79.8,269.5,136.7,16,147.7,41.6,6.46,5.2,126.5,12.81,25.13,6.04,60.2,Moderate
Chennai,20-01-2023,293.9,516.1,77.4,5.7,186.2,22,8.25,15.9,27.2,11.94,22.23,6.65,143,Moderate
Kolkata,20-01-2023,414.2,188,50.9,121.1,167.1,48.2,2.01,39.3,95.6,2.92,21.01,7.95,424.3,Good
Bangalore,20-01-2023,230,202.2,17.7,1.1,120.2,33.2,3.65,50.3,158.1,8.11,28.05,5.23,450.1,Moderate
Delhi,21-01-2023,308.9,98.6,29.3,23.3,130.6,44,7.61,97.8,84.3,7.19,9.5,8.92,463.1,Good
Mumbai,21-01-2023,21.8,110.3,116.4,129.6,219.5,36.5,2.53,31.3,89.9,19.76,26.74,7.78,268.9,Satisfactory
Chennai,21-01-2023,317.8,520.8,194.7,144.9,23.9,7.8,0.89,83,53.9,11.16,11.81,9.36,210.8,Moderate
Kolkata,21-01-2023,106.3,237.4,24.6,32.9,12.9,34.7,1.9,31.5,150.7,7.64,8.51,1.62,9.7,Moderate
Bangalore,21-01-2023,226.2,299.8,49.2,10.7,176.1,41.7,0.95,55,134.3,15.86,23.99,2.11,154.2,Moderate
Delhi,22-01-2023,79.4,407.1,101.4,33.1,82.7,9.5,3.4,32.2,111.7,16.49,1.78,2.99,349.6,Good
Mumbai,22-01-2023,330.7,503.5,102.2,93.6,119.9,13.3,5.4,40.3,14.9,7.64,14.93,5.95,420.7,Satisfactory
Chennai,22-01-2023,18.5,228.2,191.3,142,101.2,41.2,5.01,94.5,29.5,7.87,8.3,6.57,355,Poor
Kolkata,22-01-2023,208.5,164.3,188.7,47.5,14.2,33.5,6.83,18.5,41.3,18.36,5.21,0.81,290.3,Satisfactory
Bangalore,22-01-2023,354.8,53.2,6.6,42.4,75.9,23,8.65,61.3,145.6,8.5,6.71,8.26,252.7,Good
Delhi,23-01-2023,301.9,165.6,58.5,92.4,78.3,28.9,3.12,57,107.2,12.3,26.39,3.8,244.2,Satisfactory
Mumbai,23-01-2023,459.3,327.1,44.5,27.1,218.1,43.8,2.61,82.9,108.6,18.5,20.24,8.01,20.2,Very Poor
Chennai,23-01-2023,476.8,23.5,85.1,132.3,101.1,2,9.69,61.1,153.7,8.41,21.74,4.09,112.7,Severe
Kolkata,23-01-2023,435.9,164.3,25.5,23.5,232.6,26.8,5.92,20.6,22,18.28,19.55,9.81,3.7,Moderate
Bangalore,23-01-2023,460,339.8,12.5,1.2,52.9,20.5,6.09,85.3,140.2,5.95,13.38,9.27,455.3,Poor
Delhi,24-01-2023,110.7,380.5,196.6,126.7,4.4,19.2,4.6,75.1,115.4,16.18,22.67,3.11,471.8,Good
Mumbai,24-01-2023,178.6,343.7,100,144.7,218.4,16.3,1.57,64.7,105.7,7.66,17.85,3.24,463.8,Poor
Chennai,24-01-2023,135.4,599.2,73.5,98,112.8,42.4,3.41,39.6,65.9,14.77,0.86,4.07,19.6,Good
Kolkata,24-01-2023,330.9,457.4,46.4,123.8,125.8,20.4,3.53,31.8,178.1,4.38,6.02,5.93,209.1,Severe
Bangalore,24-01-2023,305.3,246,73.7,39.8,192.8,12.8,4.59,3.5,61.9,17.33,24.59,2.63,162.8,Very Poor
Delhi,25-01-2023,76.9,156.7,63,86.2,30.2,16.6,8.04,10.6,40.4,2.98,16.5,2.15,33.1,Severe
Mumbai,25-01-2023,283.4,540.9,137.6,137.6,156,5.4,3.23,3.8,164.5,3.8,9.75,7.47,45.3,Severe
Chennai,25-01-2023,261,250.1,164.9,51.9,36.9,21.4,9.72,43.9,2.4,6.37,27.15,3.89,181.5,Moderate
Kolkata,25-01-2023,200.7,395.2,118.8,116.9,204.5,48.6,1.55,12.4,155.5,14.4,9.71,4.73,422.8,Severe
Bangalore,25-01-2023,482.2,568.6,173.8,85.9,54.7,35.8,8.42,42.1,95.4,6.56,8.41,5.73,232.2,Very Poor
Delhi,26-01-2023,17.4,314.5,133.2,58.4,58.8,24.3,5.78,77.7,2.1,19.7,28.89,0.71,346.2,Good
Mumbai,26-01-2023,248.2,135.5,89.3,14.7,156.6,26.5,9.28,65,50.7,10.61,8.46,6.36,370.1,Very Poor
Chennai,26-01-2023,303.6,304.9,57.8,8.7,128.1,39.1,2.89,36.6,8.1,11.03,7.99,9.37,27.6,Satisfactory
Kolkata,26-01-2023,401.1,190.2,61.3,36.2,44.9,16.9,7.6,24.5,45.3,7.76,12.5,4.03,128.6,Satisfactory
Bangalore,26-01-2023,321.4,509.8,81.3,144.8,241.3,24.8,2.59,93.3,29.4,11.51,15.91,2.35,206,Very Poor
Delhi,27-01-2023,60.8,545.9,137.4,114.8,110.3,8.7,2.08,67.7,141.6,0.5,23.49,4.4,159.4,Severe
Mumbai,27-01-2023,70.6,409.5,142.9,38.7,130.1,22.9,3.55,77.7,176,14.5,6.41,6.71,92.1,Satisfactory
Chennai,27-01-2023,408.9,178.7,99.1,8,119.2,39.6,3.61,36.6,191.8,10.69,13.82,4.49,344.7,Moderate
Kolkata,27-01-2023,289.8,455.1,140.2,84.4,148.7,31.5,5.13,61.9,38,16.38,22.21,6.27,124.4,Moderate
Bangalore,27-01-2023,433.2,425.5,30.7,79,24,25.6,1.94,4,131.9,14.33,1.31,7.71,288,Poor
Delhi,28-01-2023,32.7,212.4,153.6,19.1,4.1,40.8,5.15,95.3,67.1,16.42,6.93,9.65,493.2,Very Poor
Mumbai,28-01-2023,313.4,410.2,112.1,51.3,240.6,14.4,0.78,82.2,116.5,4.64,21.24,4.15,360.4,Satisfactory
Chennai,28-01-2023,172.9,338.7,81.8,11,99,13.2,7.12,22.4,194.7,13.59,9.63,3.29,405.5,Very Poor
Kolkata,28-01-2023,11.7,126.6,158.3,58.4,63.4,17.7,7.16,6.2,55.2,19.04,3.63,5.81,335.7,Good
Bangalore,28-01-2023,43,24.7,149.2,57.2,46.4,44.8,6.9,70.5,183,16.79,0.5,8.44,279.5,Severe
Delhi,29-01-2023,477,179.2,78.1,76.2,14.8,28.9,6.89,71.1,45.9,0.89,13.67,6.8,453.4,Moderate
Mumbai,29-01-2023,246.7,36.2,105.6,6,16.8,27.8,7.49,74.4,34.8,12.68,19.53,9.97,339.5,Satisfactory
Chennai,29-01-2023,14,384.2,82.4,60.1,230.3,40.8,2.21,53.2,75.2,13.23,20.34,4.94,449.3,Severe
Kolkata,29-01-2023,260.1,386.5,131.1,46.4,180.3,7.7,3.74,4.1,12.9,17.66,24.17,2.76,90.1,Poor
Bangalore,29-01-2023,278.6,566.1,118.3,78.3,33.2,27.3,5.64,54.3,46.8,0.15,24.28,2.76,426.5,Very Poor
Delhi,30-01-2023,374.3,565.4,61.4,139.2,174.4,5.5,4.36,61,166.9,16.06,22.07,2.56,494.4,Poor
Mumbai,30-01-2023,426.3,10.3,142.4,114.2,99.9,2.2,5.6,51.7,128.4,7.97,20.96,6.51,416.3,Satisfactory
Chennai,30-01-2023,126.5,36.4,191.5,19,194.4,20.1,3.67,65.2,34.9,9.59,2.06,8.38,422.3,Poor
Kolkata,30-01-2023,109.9,148.9,193.1,68.1,55.9,2.3,3.87,95.8,88.6,7.87,22.04,9.87,182.4,Satisfactory
Bangalore,30-01-2023,498.4,336.5,165.8,98,24.8,13.9,8.47,73.9,39.4,10.81,16.77,8.11,206.7,Very Poor
Delhi,31-01-2023,212.1,489.5,182.9,57.1,53.9,45.4,3.83,78.4,69.2,0.36,29.91,3.26,186.2,Moderate
Mumbai,31-01-2023,188.7,144.5,139.9,41.9,177.6,6.3,4.91,8.9,188.7,6.2,23.01,9.14,52.5,Very Poor
Chennai,31-01-2023,36,214.7,66,94.4,176.2,40.1,1.93,32.8,151.4,7.81,19.82,1.95,254.8,Poor
Kolkata,31-01-2023,191,310.6,148.3,27.1,232.6,5.1,0.29,29.3,13,15.11,4.34,2.04,342.9,Moderate
Bangalore,31-01-2023,226.8,327.8,1.9,98.6,8.5,41.1,9.34,92.3,36.1,8.21,27.37,8.82,66.3,Severe
Delhi,01-02-2023,347.5,2.1,67.3,88.1,78.4,33.4,8.6,50.8,79.9,10.62,28.32,6.63,335.6,Satisfactory
Mumbai,01-02-2023,327.5,459.1,34.7,30,46.2,24.4,0.48,49.5,133.8,7.46,2.28,1.83,334.3,Good
Chennai,01-02-2023,260.9,203.9,14.8,54.5,170.2,31,6.65,14,58.9,18.76,24.37,5.06,115.1,Good
Kolkata,01-02-2023,488.5,572,100.7,37.5,77.3,24.6,8.9,65.7,12.1,9.25,24.69,5.38,474.7,Moderate
Bangalore,01-02-2023,468.6,371.4,154.7,144.7,102.3,23.4,1.75,44.7,96.9,18.83,11.26,2.66,451.2,Poor
Delhi,02-02-2023,420.2,145.6,166.6,24.9,148.7,49.2,4.97,21.5,106,7.48,7.65,0.85,22.9,Poor
Mumbai,02-02-2023,259.1,176.7,175.8,25.1,24.8,44,4.33,49.3,31.2,2.32,15.4,8.34,26.8,Very Poor
Chennai,02-02-2023,247.1,586.9,116.8,95.6,215.5,35.1,5.74,41.8,152.4,17.88,19.11,5.77,154.3,Good
Kolkata,02-02-2023,345.3,388.3,83.1,117.3,245.8,27.3,2.43,55.4,178.4,18.27,22.32,3.37,236.6,Satisfactory
Bangalore,02-02-2023,267.2,304.2,91.7,52.5,245.8,3.7,8.5,58.4,18.8,19.82,7.42,0.5,444.9,Moderate
Delhi,03-02-2023,287.2,150.8,114,51.6,182.4,29.5,6.94,99.6,157.4,16.75,17.73,4.82,156.8,Severe
Mumbai,03-02-2023,481.5,156.6,120.9,130.7,153.4,48.3,4.26,99.6,121.4,1.83,7.33,7.87,257,Severe
Chennai,03-02-2023,373.8,103.9,82.9,139.5,165.1,18.5,6.07,62.9,146,11.31,14.65,2.92,168.6,Severe
Kolkata,03-02-2023,383.7,570.2,40.4,71.2,81.2,12.9,5.95,12.4,171.8,13.27,24.86,5.83,22.7,Good
Bangalore,03-02-2023,9.8,274.6,80.7,84.3,199.2,14.8,1.3,65.8,178,5.36,16.12,5.29,409.4,Moderate
Delhi,04-02-2023,293.8,242,60.2,10.2,214,33.6,6.8,74.8,169,1.26,2.02,1.94,372.7,Poor
Mumbai,04-02-2023,273.8,110.6,167,18.2,32,48.2,8.31,39,29.9,13.1,1.64,2.52,458.9,Poor
Chennai,04-02-2023,333,497.4,154.9,70.1,240.1,2.5,2.69,81.3,11.4,5.78,22.75,8.94,226.6,Severe
Kolkata,04-02-2023,402.8,462.5,190.7,138.3,105.2,6.6,9.15,39,22.6,17.14,21.02,8.65,242.3,Moderate
Bangalore,04-02-2023,441.4,454.2,73.4,64.2,173.2,33.6,6.82,74.2,166.1,19.85,27.19,2.95,65,Very Poor
Delhi,05-02-2023,318.3,489.4,176.2,39.7,48.9,14.7,4.35,13,46.3,0.52,5.35,4.5,416.6,Satisfactory
Mumbai,05-02-2023,365.7,246.8,4,78.1,43.4,39.4,2.74,29.1,79.7,9.38,13.86,7.97,491.5,Satisfactory
Chennai,05-02-2023,371.4,448.3,11.3,145.5,194.2,36.5,2.74,68.1,99.1,12.09,29.63,0.71,106.6,Good
Kolkata,05-02-2023,462.2,26,156.9,83.8,197.9,17.3,0.34,6.9,37.3,13.88,1.47,9.12,138.8,Poor
Bangalore,05-02-2023,458.9,327.2,9.9,32.7,125.1,3.8,9.28,95.4,125.1,13.67,5.48,0.59,407.9,Poor
Delhi,06-02-2023,416.3,242.5,101.1,57.6,217,15.1,5.28,0.1,65.2,3.63,13.33,8.62,12.5,Good
Mumbai,06-02-2023,138.1,43,155.3,97.6,112,11.2,7.78,5.9,80.8,3.32,29.16,9.86,414.6,Severe
Chennai,06-02-2023,93.1,259.6,80.5,46.8,103.2,33.9,5.77,43.7,182.1,13.08,3.46,7.04,431.2,Poor
Kolkata,06-02-2023,134,72.9,141,32.6,129.3,34.3,2.66,7.9,9.6,17.98,14.02,8.97,393.4,Very Poor
Bangalore,06-02-2023,131.9,157.2,49.3,143.8,15.7,5,5.29,94.2,48.5,8.64,23.2,4.74,240.8,Severe
Delhi,07-02-2023,366.2,43.1,76.2,76.6,125.7,15.7,7.15,98,92.8,13.55,6.1,3.78,263.2,Severe
Mumbai,07-02-2023,161.8,555.3,185.9,15.3,188.3,7.1,4.58,16.7,101.3,2.26,13.84,4.91,317.7,Very Poor
Chennai,07-02-2023,310.6,367.2,143.7,3,226.8,23.9,3.3,8.8,144.9,14.44,26.47,4.22,173.6,Severe
Kolkata,07-02-2023,347.4,78.9,104.9,96,38.6,31.1,9.38,93.4,44.9,0.59,19.34,9.67,227.1,Good
Bangalore,07-02-2023,298.4,577.3,52.8,68.7,71.8,43.1,1.77,65.5,128.3,12.85,26.76,5.12,280.1,Moderate
Delhi,08-02-2023,93.2,449.9,141.8,28.8,21.5,13.9,9.54,16.7,195.5,13.48,11.89,4.68,336,Poor
Mumbai,08-02-2023,297.9,351.7,91.8,124.3,216.5,37.9,2.24,99.8,120.2,15.21,15.42,4.89,489.2,Good
Chennai,08-02-2023,98,272.2,110.5,88.5,219,6.1,7.32,21.8,163.7,0.36,8.65,8.86,457.4,Very Poor
Kolkata,08-02-2023,247.3,446.8,115.8,50.5,86.7,32,9.36,9.6,35.6,14.53,0.23,9.43,88.6,Satisfactory
Bangalore,08-02-2023,318.2,392.2,20.7,138,204.2,44.5,3.95,30.4,58.9,14.76,5.38,3.49,156.3,Good
Delhi,09-02-2023,250.7,265.8,88.7,80,249.2,36.8,1.25,49.3,70.7,5.39,27.73,3.11,82.6,Very Poor
Mumbai,09-02-2023,225.7,24.1,147.5,0.4,206.3,9.8,1.89,8.6,120.2,14.34,0.23,1.05,381.1,Satisfactory
Chennai,09-02-2023,439.1,312.7,171.8,44.1,114.9,37.4,0.58,40.2,147.1,4.61,7.13,4.39,478.8,Moderate
Kolkata,09-02-2023,438.9,350.5,83.7,41,81.5,27.2,9.74,5.5,77,6.42,21.52,4.03,247.9,Poor
Bangalore,09-02-2023,316.6,289.5,34,51.5,124.9,26.8,5.51,8.9,200,10.86,5,7.14,374.9,Poor
Delhi,10-02-2023,6.8,500.9,131.6,43.7,5.5,2.4,0.43,18.4,146.7,19.23,18.06,9.14,208.7,Poor
Mumbai,10-02-2023,369.6,226.4,30.4,104.8,195.2,7.5,4.45,86.6,190.4,4.87,14.9,7.95,308,Severe
Chennai,10-02-2023,398.8,111.1,101.6,50.5,80.7,31.5,1.18,44.1,106.9,5.13,14.7,2.16,497.9,Severe
Kolkata,10-02-2023,261.5,525.1,94.7,144.8,0.1,40.5,3.94,7.1,180.4,5.24,11.15,3.76,257.8,Severe
Bangalore,10-02-2023,11.7,307.3,177.3,116.9,47.5,47.7,4.83,48.1,127.2,18.19,3.24,2.25,213,Very Poor
Delhi,11-02-2023,355.5,243.8,68.9,69.2,35.1,23.2,4.09,85.1,176.9,11.24,0.23,9.28,283.4,Poor
Mumbai,11-02-2023,373.5,422,148.6,64.2,144.3,32.8,2.56,38.9,91.6,8.01,18.04,0.77,385.8,Good
Chennai,11-02-2023,302.7,273.9,162.6,14.4,115.6,11.7,7.76,35.5,37.9,18.33,0.63,0.99,294.3,Poor
Kolkata,11-02-2023,5.5,5.7,121.4,21.9,214.6,6.8,1.33,64.1,25.8,7.61,12.79,8.74,28.5,Poor
Bangalore,11-02-2023,8.9,364.7,62.2,129.1,223,25.6,0.23,55.8,123,9.1,9.5,4.98,438.3,Very Poor
Delhi,12-02-2023,361,599.3,148.4,42.7,7.6,13.8,7.26,9,183.4,17.97,17.38,5.84,243.8,Poor
